n_estimators,max_depth,learning_rate,subsample,colsample_bytree,auc_score,train_time_sec
600,4,0.01,0.8,0.8,0.8106941011431796,11.603516817092896
600,6,0.01,0.8,0.8,0.8105784549358088,15.563617944717407
600,8,0.01,0.8,0.8,0.8105035393587259,17.92896032333374
600,6,0.01,1.0,0.8,0.8087635170324293,15.788425207138062
600,4,0.01,0.8,1.0,0.8086563616414365,12.540428876876831
600,4,0.01,1.0,0.8,0.8085967797046373,11.615471124649048
600,8,0.01,1.0,0.8,0.8083820489364628,19.352592706680298
100,4,0.05,0.8,0.8,0.8083098443475709,3.79656720161438
600,6,0.01,1.0,1.0,0.808242492000777,17.02176833152771
600,6,0.01,0.8,1.0,0.8082025692948331,16.327270984649658
100,8,0.05,0.8,0.8,0.8081582194887864,5.09901762008667
600,4,0.01,1.0,1.0,0.8079888170172389,12.594126462936401
600,8,0.01,0.8,1.0,0.8079601467166955,18.823672771453857
100,6,0.05,0.8,0.8,0.807504651737466,5.005527019500732
600,8,0.01,1.0,1.0,0.8074802914031648,20.299808025360107
100,8,0.05,0.8,1.0,0.8067509893958053,5.24499249458313
100,6,0.05,0.8,1.0,0.806193950196476,4.794365882873535
300,8,0.05,1.0,0.8,0.8053374362398865,7.274332761764526
100,4,0.05,0.8,1.0,0.8049604482740276,3.954843521118164
300,8,0.05,0.8,0.8,0.8049443408128878,7.2090959548950195
300,6,0.05,1.0,0.8,0.8046872193929079,6.761375904083252
300,6,0.05,0.8,0.8,0.8045190255814251,6.84626030921936
600,8,0.05,1.0,0.8,0.8042641439942263,8.879060745239258
300,8,0.05,1.0,1.0,0.8039981044313994,7.3763298988342285
300,6,0.05,0.8,1.0,0.8039944897970208,6.901841640472412
100,8,0.05,1.0,0.8,0.8038928035215257,5.555026054382324
300,4,0.05,0.8,0.8,0.8038710589827484,6.575402498245239
600,6,0.05,1.0,0.8,0.8038708940143173,8.987267017364502
300,8,0.05,0.8,1.0,0.8038408442831997,7.2659406661987305
300,4,0.05,1.0,0.8,0.8037205065873337,6.060938835144043
100,4,0.05,1.0,1.0,0.8035047312178225,3.991135835647583
100,6,0.05,1.0,0.8,0.8034170107792149,4.606590032577515
300,4,0.05,1.0,1.0,0.8032433258008472,6.031106472015381
100,8,0.05,1.0,1.0,0.8029702074638998,6.031729459762573
300,6,0.05,1.0,1.0,0.802860985935636,7.059557914733887
600,8,0.05,1.0,1.0,0.8026959345988421,9.605734586715698
100,4,0.05,1.0,0.8,0.802597350230762,3.8141026496887207
600,4,0.05,1.0,0.8,0.8024728952408797,8.182173490524292
600,6,0.05,0.8,0.8,0.8021974647803443,8.874467611312866
600,4,0.05,0.8,0.8,0.8021921038544252,8.158849716186523
600,8,0.05,0.8,0.8,0.802044713710053,8.79158639907837
300,6,0.01,0.8,0.8,0.8020258075676182,9.604588031768799
300,4,0.05,0.8,1.0,0.8019033434023296,6.375809192657471
300,8,0.01,0.8,0.8,0.801867783103365,10.968502759933472
600,6,0.05,0.8,1.0,0.8018352931605588,9.265765190124512
300,4,0.01,0.8,0.8,0.8017277551596683,8.660613536834717
600,4,0.05,1.0,1.0,0.8014881453704077,8.480233669281006
600,8,0.05,0.8,1.0,0.8014769806960527,9.42095160484314
300,6,0.01,0.8,1.0,0.8014734566000087,10.068667888641357
300,8,0.01,0.8,1.0,0.8013923971062835,11.539207696914673
600,6,0.05,1.0,1.0,0.8012984992221404,9.130647897720337
300,4,0.01,0.8,1.0,0.8012538645067495,10.509241342544556
100,6,0.05,1.0,1.0,0.8009327456940448,5.13472580909729
600,4,0.05,0.8,1.0,0.7999831694458024,8.745757818222046
300,6,0.01,1.0,0.8,0.7978912183889222,11.379170894622803
300,8,0.01,1.0,0.8,0.7976586603794891,11.906297206878662
300,6,0.01,1.0,1.0,0.7972496765319643,11.666616439819336
300,8,0.01,1.0,1.0,0.796639211621277,12.851721286773682
300,4,0.01,1.0,0.8,0.796166910752347,8.634689807891846
300,4,0.01,1.0,1.0,0.7959524434738539,7.654139518737793
100,4,0.01,0.8,0.8,0.7891675111331691,7.211565971374512
100,6,0.01,0.8,0.8,0.788812070628407,5.000504732131958
100,8,0.01,0.8,0.8,0.7887707878981388,5.734399795532227
100,4,0.01,1.0,0.8,0.7820646051807731,3.770192861557007
100,4,0.01,0.8,1.0,0.7812875322662959,4.145514488220215
100,6,0.01,1.0,0.8,0.7807692323936306,5.060381174087524
100,6,0.01,0.8,1.0,0.780614970780861,4.960360765457153
100,8,0.01,1.0,0.8,0.7802244719303983,6.017085075378418
100,8,0.01,0.8,1.0,0.7801981605057327,5.783287048339844
100,4,0.01,1.0,1.0,0.7775163291044814,4.061284303665161
100,6,0.01,1.0,1.0,0.7720559612228886,5.4977498054504395
100,8,0.01,1.0,1.0,0.7706411238052138,5.887551784515381
